region,model,scale_x,scale_y,rotation_deg,shear_deg,anisotropy,determinant,plausible
S10,similarity,0.998385,0.998385,-0.0026,-0.0000,0.000000,0.996773,yes
S1_main,similarity,0.991331,0.991331,-0.7916,-0.0000,0.000000,0.982738,yes
S2,similarity,0.999934,0.999934,-0.9887,-0.0000,0.000000,0.999867,yes
S27,similarity,0.996481,0.996481,-0.0988,0.0000,0.000000,0.992974,yes
S29,similarity,0.995961,0.995961,0.6188,0.0000,0.000000,0.991939,yes
S7,similarity,1.012197,1.012197,-0.5445,-0.0000,0.000000,1.024543,yes
S8,similarity,1.005640,1.005640,-0.1855,0.0000,0.000000,1.011312,yes
S9,similarity,1.000000,1.000000,0.0000,0.0000,0.000000,1.000000,yes
